IDMessage;Battery;Value;Delta;Origin
0;B0;0.4;0;0.4
0;B1;0.4;0;0.4
0;B2;0.4;0;0.4
0;B3;0.4;0;0.4
0;B4;0.4;0;0.4
0;B5;0.4;0;0.4
watts;;1935.07;;
amps;;14.82;;
0;B0;0.4;0;0.4
0;B1;0.4;0;0.4
0;B2;0.4;0;0.4
0;B3;0.4;0;0.4
0;B4;0.4;0;0.4
0;B5;0.4;0;0.4
watts;;1937.46;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1939.76;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1942.02;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1944.3;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1946.8;;
amps;;14.88;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1949.42;;
amps;;14.88;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1952.2;;
amps;;14.88;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1954.9;;
amps;;14.88;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1957;;
amps;;14.88;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1960;;
amps;;14.88;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1962.57;;
amps;;14.88;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1964.95;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1967.18;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1969.5;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1971.8;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1974.1;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1976.3;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1978;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1980;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1983.09;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1985.49;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1987;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1990;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1992;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1994.61;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1997.1;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;1999.6;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
0;B4;0.39;0;0.39
0;B5;0.39;0;0.39
watts;;2002;;
amps;;14.82;;
0;B0;0.38;0;0.38
0;B1;0.38;0;0.38
0;B2;0.38;0;0.38
0;B3;0.38;0;0.38
0;B4;0.38;0;0.38
0;B5;0.38;0;0.38
watts;;2005.64;;
amps;;14.82;;
0;B0;0.39;0;0.39
0;B1;0.39;0;0.39
0;B2;0.39;0;0.39
0;B3;0.39;0;0.39
